study_name	sample_id	subject_id	target_condition	target_condition_ontology_term_id	body_site	body_site_ontology_term_id	host_species	host_species_ontology_term_id	control	control_ontology_term_id	age	age_group	age_group_ontology_term_id	age_unit	age_unit_ontology_term_id	sex	sex_ontology_term_id	disease	disease_ontology_term_id	curator	pmid	sequencing_platform
DeCastroFonsecaM_2026	CALTEC-001-WT1_2mo	CALTEC-001-WT1_2mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	2	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT2_2mo	CALTEC-001-WT2_2mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	2	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT3_2mo	CALTEC-001-WT3_2mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	2	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT4_2mo	CALTEC-001-WT4_2mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	2	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT5_2mo	CALTEC-001-WT5_2mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	2	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT6_2mo	CALTEC-001-WT6_2mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	2	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT7_2mo	CALTEC-001-WT7_2mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	2	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT8_2mo	CALTEC-001-WT8_2mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	2	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT9_2mo	CALTEC-001-WT9_2mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	2	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT10_2mo	CALTEC-001-WT10_2mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	2	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT1_5mo	CALTEC-001-WT1_5mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	5	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT2_5mo	CALTEC-001-WT2_5mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	5	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT3_5mo	CALTEC-001-WT3_5mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	5	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT4_5mo	CALTEC-001-WT4_5mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	5	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT5_5mo	CALTEC-001-WT5_5mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	5	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT6_5mo	CALTEC-001-WT6_5mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	5	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT7_5mo	CALTEC-001-WT7_5mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	5	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT8_5mo	CALTEC-001-WT8_5mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	5	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT9_5mo	CALTEC-001-WT9_5mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	5	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT10_5mo	CALTEC-001-WT10_5mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	5	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT1_12mo	CALTEC-001-WT1_12mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	12	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT2_12mo	CALTEC-001-WT2_12mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	12	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT3_12mo	CALTEC-001-WT3_12mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	12	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
DeCastroFonsecaM_2026	CALTEC-001-WT4_12mo	CALTEC-001-WT4_12mo	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	12	NA	NA	Month	NCIT:C29846	NA	NA	NA	NA	Kaelyn Long	41389810	IlluminaNovaSeq
