study_name	sample_id	subject_id	target_condition	target_condition_ontology_term_id	body_site	body_site_ontology_term_id	host_species	host_species_ontology_term_id	control	control_ontology_term_id	age	age_group	age_group_ontology_term_id	age_unit	age_unit_ontology_term_id	sex	sex_ontology_term_id	disease	disease_ontology_term_id	curator	pmid	sequencing_platform
MoiseyenkoA_2026	CALTEC-001-1W-F	CALTEC-001-1W-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-2W-F	CALTEC-001-2W-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-3W-F	CALTEC-001-3W-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-4W-F	CALTEC-001-4W-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-5W-F	CALTEC-001-5W-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-6W-F	CALTEC-001-6W-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-7W-F	CALTEC-001-7W-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-8W-F	CALTEC-001-8W-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-1C-F	CALTEC-001-1C-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-2C-F	CALTEC-001-2C-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-3C-F	CALTEC-001-3C-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-4C-F	CALTEC-001-4C-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-5C-F	CALTEC-001-5C-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-6C-F	CALTEC-001-6C-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-7C-F	CALTEC-001-7C-F	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
