uuid,study_name,study_id,n_samples,n_runs,study_id_source,source_project,curation_available,ci_validated,primary_disease,body_site,country,sequencing_platform,pmid,metaphlan_version,metaphlan_location,humann_version,humann_location,n_samples_processed,n_runs_processed,telemetry_collections,processing_status,runs_per_sample,notes
d282378f-9ac3-5f0b-a94b-5ecfe87c7584,ArtachoA_2021,PRJNA682730,69,69,ncbi,CMD,TRUE,TRUE,Rheumatoid Arthritis,feces,United States,IlluminaNextSeq,33314800,,,,,69,69,ArtachoA_2021;CMD,processed,1.00,BioProject unresolved
d15aa2cb-bd30-539d-84ed-3df1e0d24b34,AsnicarF_2017,PRJNA339914,24,24,sra_meta,CMD,TRUE,TRUE,Healthy,feces;milk,Italy,IlluminaHiSeq,28144631,,,,,0,0,,not_processed,1.00,
29c5db8c-81df-576d-b604-0c4125a403e7,AsnicarF_2021,PRJEB39223,1098,1098,sra_meta,CMD;PMD,TRUE,TRUE,Healthy,feces,United States;United Kingdom,IlluminaNovaSeq,33432175,,,,,0,0,,not_processed,1.00,
a645d835-a34a-5165-9b78-2d818827ca8b,AverinaOV_2020,PRJNA516054,78,78,ncbi,CMD,TRUE,TRUE,Autism Spectrum Disorder;Healthy,feces,Russian Federation,IlluminaNovaSeq;IlluminaHiSeq,32213246,,,,,25,25,AverinaOV_2020;CMD,partial,1.00,BioProject unresolved
1fdd5a79-ad12-55c9-bae4-6e9e8e47c52f,BackhedF_2015,PRJEB6456,400,400,sra_meta,CMD,TRUE,TRUE,Healthy,feces,Sweden,IlluminaHiSeq,25974306,,,,,0,0,,not_processed,1.00,
f52d4d86-36e4-56c8-be1a-a0599f53a976,BaiX_2021,PRJNA692830,24,24,ncbi,CMD,TRUE,TRUE,HIV Infection;Healthy,feces,Sweden,IlluminaNovaSeq,34248876,,,,,0,0,,not_processed,1.00,BioProject unresolved
25e855f8-06f0-511e-bdfd-0316b3986ee0,BaruchEN_2021,PRJNA678737,42,42,ncbi,CMD,TRUE,FALSE,melanoma;Metastatic Malignant Neoplasm,feces,Israel,IlluminaHiSeq,33303685,,,,,0,0,,not_processed,1.00,filename not *_sample.tsv - skipped by CI validator; BioProject unresolved
82c98c1c-8336-5655-b859-4da6d2e14e75,BedarfJR_2017,PRJEB17784,59,364,sra_meta,PMD,TRUE,TRUE,Healthy;Parkinson disease,feces,Germany,IlluminaHiSeq,28449715,,,,,59,364,PRJEB17784,processed,6.17,
4e3b9eca-6950-554a-8250-84caab1e8a76,Bengtsson-PalmeJ_2015,PRJEB7369,70,70,sra_meta,CMD,TRUE,TRUE,Healthy,feces,Sweden,IlluminaHiSeq,26259788,,,,,0,0,,not_processed,1.00,
8040c386-c3b1-56fc-a433-e7a48ffdf11b,BoktorJC_2023,PRJEB53401,227,227,telemetry,PMD,TRUE,TRUE,Parkinson disease;Healthy;Bipolar Disorder;Depression;Mild Cognitive Impairment,feces,United States,IlluminaNextSeq;IlluminaNovaSeq,,,,,,118,113,PRJEB53401,partial,1.00,5 processed sample(s) not listed in the curated table
4eca6390-ac39-51ad-a0d0-61421f3299af,BommanaS_2023,PRJNA982400,350,350,ncbi,CMD,TRUE,TRUE,Bacterial Vaginosis;Mycoplasmoides infection;Chlamydial Infection;Gonorrhea;Trichomonas Vaginitis;(+1 more),vagina,Fiji,IlluminaNovaSeq,,,,,,0,0,,not_processed,1.00,BioProject unresolved
26fecfdf-8787-5519-8905-9f7cf23f3bf7,BritoIL_2016,PRJNA217052,312,5635,sra_meta,CMD,TRUE,TRUE,Healthy,oral cavity;feces,Fiji,IlluminaHiSeq,27409808,,,,,0,0,,not_processed,18.06,
57ee8c36-9d70-5e56-904e-c5c10d67ad45,BrooksB_2017,PRJNA376566,408,408,sra_meta,CMD,TRUE,TRUE,Preterm Birth;Healthy,feces,United States,IlluminaHiSeq,29180750,,,,,0,0,,not_processed,1.00,
185eccf8-dfd8-5bd5-9ca3-bf306fa20bcc,Castro-NallarE_2015,PRJNA255439,32,33,sra_meta,CMD,TRUE,TRUE,Schizophrenia;Type 2 Diabetes Mellitus;Healthy;Crohn Disease,oral cavity,United States,IlluminaHiSeq,26336637,,,,,0,0,,not_processed,1.03,
ce64789b-7722-5528-b53c-b0586cb0478d,ChengpingW_2017,PRJNA375935,97,97,ncbi,CMD,TRUE,TRUE,Rheumatoid Arthritis;Ankylosing Spondylitis,feces,China,IlluminaHiSeq,28750650,,,,,0,0,,not_processed,1.00,BioProject unresolved
e1d9b190-fee6-5ed1-89e7-ae2bc273a638,ChngKR_2016,PRJNA277905,78,78,ncbi,CMD,TRUE,TRUE,Alzheimer's Disease;Allergic Rhinitis;Healthy;Asthma,skin epidermis,Singapore;Indonesia;China;Malaysia;Brunei Darussalam,IlluminaHiSeq,27562258,,,,,25,25,CMD;ChngKR_2016,partial,1.00,BioProject unresolved
4408bf46-7348-53c4-89c3-2600a3cf73d6,ChuDM_2017,PRJNA322188,86,86,sra_meta,CMD,TRUE,TRUE,Healthy;Gestational Diabetes;Preeclampsia;Chorioamnionitis,oral cavity;feces,United States,IlluminaHiSeq,28112736,,,,,0,0,,not_processed,1.00,
a5d5d0df-d9e6-5a9b-8d3d-b11fed5ea7ba,ContevilleLC_2019,PRJNA527208,15,15,ncbi,CMD,TRUE,TRUE,Healthy,feces,Brazil,IlluminaHiSeq,31417531,,,,,15,15,CMD;ContevilleLC_2019,processed,1.00,BioProject unresolved
de699a56-86d4-5bfe-85f7-b4a479483558,CosteaPI_2017,PRJEB17632,279,2209,sra_meta,CMD,TRUE,TRUE,Healthy,feces,Germany;Kazakhstan,IlluminaHiSeq,29242367,,,,,0,0,,not_processed,7.92,
d41faa3c-ac44-5ed5-8a36-eaa3b86bf3d2,DavarD_2021,PRJNA672867,216,216,ncbi,CMD,TRUE,FALSE,melanoma;metastases_liver,stool,USA,IlluminaNovaSeq;IlluminaNextSeq,33542131,,,,,0,0,,not_processed,1.00,filename not *_sample.tsv - skipped by CI validator; BioProject unresolved
d25e3441-e780-53b9-a9c5-312cddbcc830,DavidLA_2015,PRJEB9150,47,47,sra_meta,CMD,TRUE,TRUE,Diarrhea;Cholera;Healthy,feces,Bangladesh,IlluminaHiSeq,25991682,,,,,25,25,CMD;DavidLA_2015,partial,1.00,
4e9e1232-0e6e-5a66-9246-69c3db1797a7,DeCastroFonsecaM_2026,,330,0,,PMD,TRUE,TRUE,,feces,,IlluminaNovaSeq,41389810,,,,,0,0,,no_run_accessions,,no run accessions in ncbi_accession; BioProject unresolved
a530b83a-ba97-5874-8d04-cf668fca2a70,DeFilippisF_2019,PRJNA340216,97,97,ncbi,CMD,TRUE,TRUE,Healthy,feces,Italy,IlluminaNextSeq,30799264,,,,,0,0,,not_processed,1.00,BioProject unresolved
